ORPHA:79414	HRAS
ORPHA:370109	ATM
ORPHA:397	PTPN22
ORPHA:397	HLA-B
ORPHA:397	HLA-DRB1
ORPHA:397	P4HA2
ORPHA:399	HTT
ORPHA:399	SLC2A3
ORPHA:394	CBS
ORPHA:636970	MYH7
ORPHA:393	SOX9
ORPHA:393	SOX3
ORPHA:393	NR5A1
ORPHA:393	SRY
ORPHA:393	NR0B1
ORPHA:395	MTHFR
ORPHA:392	TBX5
ORPHA:199318	CHRNA7
ORPHA:1401	RIPK4
ORPHA:240094	MAPT
ORPHA:79403	ITGA6
ORPHA:79403	ITGB4
ORPHA:199302	MSX1
ORPHA:199302	NECTIN1
ORPHA:199302	TP63
ORPHA:199302	IRF6
ORPHA:99013	SPG7
ORPHA:79404	LAMA3
ORPHA:79404	LAMC2
ORPHA:79404	LAMB3
ORPHA:99014	PRPS1
ORPHA:477814	DIAPH1
ORPHA:389	MAP2K1
ORPHA:389	NRAS
ORPHA:389	BRAF
ORPHA:99015	PLP1
ORPHA:79406	COL17A1
ORPHA:231140	IGF2
ORPHA:231140	H19
ORPHA:388	ABCD1
ORPHA:388	RET
ORPHA:388	GDNF
ORPHA:388	SMO
ORPHA:388	ECE1
ORPHA:388	SREBF1
ORPHA:388	EDN3
ORPHA:388	SEMA3D
ORPHA:388	ATP7A
ORPHA:388	EDNRB
ORPHA:388	SEMA3C
ORPHA:388	ERBB2
ORPHA:388	ERBB3
ORPHA:388	NRTN
ORPHA:79408	MMP1
ORPHA:79408	COL7A1
ORPHA:477817	RAI1
ORPHA:325529	STAR
ORPHA:382	GAMT
ORPHA:79409	COL7A1
ORPHA:384	SMARCAD1
ORPHA:231144	IGF2
ORPHA:231144	H19
ORPHA:325524	STAR
ORPHA:380	GLI3
ORPHA:199306	RIC1
ORPHA:199306	NECTIN1
ORPHA:199306	DLG1
ORPHA:199306	CDH1
ORPHA:199306	PDGFRA
ORPHA:199306	IRF6
ORPHA:199306	DLX4
ORPHA:199306	MSX1
ORPHA:199306	BMP4
ORPHA:199306	TP63
ORPHA:199306	COBLL1
ORPHA:199306	ARHGEF38
ORPHA:199306	ARHGAP29
ORPHA:289365	ROBO2
ORPHA:289365	TNXB
ORPHA:289365	SOX17
ORPHA:220497	RPGRIP1L
ORPHA:220497	NPHP1
ORPHA:220497	TMEM237
ORPHA:542585	FDXR
ORPHA:240085	MAPT
ORPHA:220493	AHI1
ORPHA:220493	INPP5E
ORPHA:220493	CEP120
ORPHA:220493	MKS1
ORPHA:220493	CEP41
ORPHA:2728	MED12
ORPHA:636965	MYH7
ORPHA:79410	COL7A1
ORPHA:79411	COL7A1
ORPHA:379	CYBB
ORPHA:379	NCF2
ORPHA:379	CYBA
ORPHA:379	NCF4
ORPHA:379	NCF1
ORPHA:379	CYBC1
ORPHA:90673	TSHR
ORPHA:90674	TSHB
ORPHA:2721	WNT10A
ORPHA:99001	PRPH2
ORPHA:99001	CTNNA1
ORPHA:99001	OTX2
ORPHA:34528	FXYD2
ORPHA:99002	RCBTB1
ORPHA:99003	PRPH2
ORPHA:35858	CUBN
ORPHA:35858	AMN
ORPHA:99000	PRPH2
ORPHA:99000	BEST1
ORPHA:99000	IMPG2
ORPHA:99000	IMPG1
ORPHA:231117	IGF2
ORPHA:231117	KCNQ1OT1
ORPHA:231117	H19
ORPHA:529574	MAFB
ORPHA:289377	TTN
ORPHA:240071	MAPT
ORPHA:2712	BCOR
ORPHA:438207	GNE
ORPHA:438207	PRKACG
ORPHA:465824	CHUK
ORPHA:220465	STAT5B
ORPHA:633004	KDM3B
ORPHA:2717	FREM1
ORPHA:101097	GDAP1
ORPHA:101090	CD40
ORPHA:79400	KRT5
ORPHA:79400	KRT14
ORPHA:101092	UNG
ORPHA:79401	PLEC
ORPHA:79402	LAMA3
ORPHA:79402	COL17A1
ORPHA:79402	LAMC2
ORPHA:79402	ITGB4
ORPHA:79402	LAMB3
ORPHA:2710	GJA1
ORPHA:371428	MMP2
ORPHA:371428	MMP14
ORPHA:34516	DNAJB6
ORPHA:231120	CDKN1C
ORPHA:101088	CD40LG
ORPHA:101089	AICDA
ORPHA:97297	ASXL1
ORPHA:34515	FKRP
ORPHA:34514	TCAP
ORPHA:231127	H19
ORPHA:90653	COL2A1
ORPHA:90654	COL11A1
ORPHA:438216	PURA
ORPHA:2701	SHOC2
ORPHA:2701	PPP1CB
ORPHA:2704	LRIG2
ORPHA:2704	HPSE2
ORPHA:90658	PMP22
ORPHA:289380	COL6A2
ORPHA:2707	UBE3B
ORPHA:101083	LITAF
ORPHA:34520	ITGA7
ORPHA:101084	EGR2
ORPHA:595098	CACNA1C
ORPHA:101085	NEFL
ORPHA:51083	CACNA2D1
ORPHA:51083	KCNJ2
ORPHA:51083	KCNQ1
ORPHA:51083	KCNH2
ORPHA:51083	SLC4A3
ORPHA:90650	FLNA
ORPHA:659609	RAC3
ORPHA:101081	PMP22
ORPHA:101082	MPZ
ORPHA:90652	FLNA
ORPHA:99067	NR2F2
ORPHA:99067	GATA4
ORPHA:99067	CRELD1
ORPHA:99067	GATA6
ORPHA:99068	NR2F2
ORPHA:99068	GATA4
ORPHA:99068	CRELD1
ORPHA:353	SGCG
ORPHA:356	PRNP
ORPHA:254693	NLRP7
ORPHA:254693	KHDC3L
ORPHA:199354	HTRA1
ORPHA:35878	GLUD1
ORPHA:101078	AIFM1
ORPHA:199351	PLA2G6
ORPHA:351	CTSA
ORPHA:46532	HBB
ORPHA:46532	KLF1
ORPHA:46532	HBG1
ORPHA:46532	HBG2
ORPHA:329931	CFHR3
ORPHA:329931	CFHR1
ORPHA:329931	CFHR5
ORPHA:329931	CFHR2
ORPHA:631248	ACOX1
ORPHA:220443	TBXA2R
ORPHA:485418	EMILIN1
ORPHA:101075	GJB1
ORPHA:347	WT1
ORPHA:101070	ADGRG1
ORPHA:101070	PTEN
ORPHA:349	FUCA1
ORPHA:348	FBP1
ORPHA:343	MVK
ORPHA:477857	RORC
ORPHA:342	MEFV
ORPHA:199343	KCNJ10
ORPHA:199340	BAG3
ORPHA:101068	DCN
ORPHA:438274	GCGR
ORPHA:254688	NLRP7
ORPHA:254688	TOP6BL
ORPHA:254688	MEI1
ORPHA:254688	KHDC3L
ORPHA:199348	SLC19A3
ORPHA:231108	SMARCA4
ORPHA:231108	SMARCB1
ORPHA:485421	MFF
ORPHA:300284	PLOD3
ORPHA:101063	NME7
ORPHA:101063	CIROP
ORPHA:101063	NODAL
ORPHA:101063	ANKS3
ORPHA:101063	PKD1L1
ORPHA:101063	CFAP53
ORPHA:101063	CFAP52
ORPHA:101063	CITED2
ORPHA:101063	DNAH9
ORPHA:101063	MMP21
ORPHA:79452	FLT4
ORPHA:79452	PIEZO1
ORPHA:79452	ANGPT2
ORPHA:79452	GJC2
ORPHA:79455	KIT
ORPHA:337	ACVR1
ORPHA:376	PIEZO2
ORPHA:228384	MEF2C
ORPHA:199332	CILK1
ORPHA:377	PTCH1
ORPHA:377	PTCH2
ORPHA:377	SUFU
ORPHA:685082	SFTPC
ORPHA:685082	ABCA3
ORPHA:685082	SFTPB
ORPHA:99042	CFC1
ORPHA:228387	NKX3-2
ORPHA:371	PFKM
ORPHA:373	GPC4
ORPHA:373	GPC3
ORPHA:199337	COX4I2
ORPHA:101050	AP2S1
ORPHA:79443	GNAS
ORPHA:166412	SLC1A1
ORPHA:369	PYGL
ORPHA:79444	GNAS
ORPHA:368	PYGM
ORPHA:79445	GNAS
ORPHA:101049	GNA11
ORPHA:280133	C3
ORPHA:366	AGL
ORPHA:33226	MYD88
ORPHA:361	MRAP
ORPHA:361	STAR
ORPHA:361	MC2R
ORPHA:361	NNT
ORPHA:361	TXNRD2
ORPHA:101046	RELN
ORPHA:101046	LGI1
ORPHA:101046	DEPDC5
ORPHA:598164	FOXG1
ORPHA:329903	CFH
ORPHA:329903	DGKE
ORPHA:199329	DYSF
ORPHA:477831	PDGFRB
ORPHA:228390	ALX4
ORPHA:199326	KCNA1
ORPHA:178400	DYSF
ORPHA:676125	ELF4
ORPHA:636941	COL3A1
ORPHA:101041	FGA
ORPHA:101041	FGB
ORPHA:101041	FGG
ORPHA:79431	TYR
ORPHA:689430	CTNNB1
ORPHA:99027	LMNB1
ORPHA:79432	MC1R
ORPHA:79432	OCA2
ORPHA:358	CLCNKB
ORPHA:358	SLC12A3
ORPHA:79433	TYRP1
ORPHA:79434	TYR
ORPHA:90695	PROP1
ORPHA:90695	SOX3
ORPHA:79435	SLC45A2
ORPHA:220436	PLAU
ORPHA:97240	ACTA1
ORPHA:73273	IGF1R
ORPHA:369999	DSG1
ORPHA:228360	CLN5
ORPHA:23	ASL
ORPHA:73272	IGF1
ORPHA:24	FH
ORPHA:280142	LCK
ORPHA:25	GCDH
ORPHA:312	KRT10
ORPHA:312	KRT1
ORPHA:101039	PCDH19
ORPHA:228363	CLN6
ORPHA:97244	SELENON
ORPHA:97244	ACTA1
ORPHA:20	HMGCL
ORPHA:330050	DNM1L
ORPHA:228366	MFSD8
ORPHA:22	ALDH5A1
ORPHA:457378	TAPT1
ORPHA:29	MVK
ORPHA:519388	CPAMD8
ORPHA:457375	ITPA
ORPHA:572385	ROR2
ORPHA:307	EFHC1
ORPHA:307	GABRD
ORPHA:307	CLCN2
